date,name,pos_percentage,voters_count,url
2019-10-1,Fantasy Grounds - Starfinder RPG - Attack of the Swarm AP 2: The Last Refuge (SFRPG),,,https://store.steampowered.com/app/1164430/Fantasy_Grounds__Starfinder_RPG__Attack_of_the_Swarm_AP_2_The_Last_Refuge_SFRPG/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - Reach Adventure 2: Theories of Everything (MGT2),,,https://store.steampowered.com/app/1166670/Fantasy_Grounds__Reach_Adventure_2_Theories_of_Everything_MGT2/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - Reach Adventure 1: Marooned on Marduk (MGT2),,,https://store.steampowered.com/app/1166620/Fantasy_Grounds__Reach_Adventure_1_Marooned_on_Marduk_MGT2/?snr=1_7_7_240_150_59
2019-10-1,Super Jigsaw Puzzle: Generations - Bears Puzzles,,,https://store.steampowered.com/app/1080032/Super_Jigsaw_Puzzle_Generations__Bears_Puzzles/?snr=1_7_7_240_150_59
2019-10-1,Mahjong Dimensions 3D - Fantasy Avatar One,,,https://store.steampowered.com/app/1169090/Mahjong_Dimensions_3D__Fantasy_Avatar_One/?snr=1_7_7_240_150_59
2019-10-1,Purple Noise Echo,,,https://store.steampowered.com/app/1085540/Purple_Noise_Echo/?snr=1_7_7_240_150_59
2019-10-10,In Search of a Home,45,11,https://store.steampowered.com/app/1145740/In_Search_of_a_Home/?snr=1_7_7_240_150_58
2019-10-10,Radio Commander,71,14,https://store.steampowered.com/app/871530/Radio_Commander/?snr=1_7_7_240_150_59
2019-10-10,Court of Ashes,86,15,https://store.steampowered.com/app/1098720/Court_of_Ashes/?snr=1_7_7_240_150_59
2019-10-10,Taste of Power,68,44,https://store.steampowered.com/app/758250/Taste_of_Power/?snr=1_7_7_240_150_59
2019-10-10,MageQuit,94,168,https://store.steampowered.com/app/572220/MageQuit/?snr=1_7_7_240_150_58
2019-10-10,MISTOVER,51,1022,https://store.steampowered.com/app/909510/MISTOVER/?snr=1_7_7_240_150_59
2019-10-10,March Forward,,,https://store.steampowered.com/app/1159340/March_Forward/?snr=1_7_7_240_150_58
2019-10-10,如果成为勇者后只剩下一小时生命该如何打倒魔王活下去？,,,https://store.steampowered.com/app/1160510/_/?snr=1_7_7_240_150_59
2019-10-11,Pride Run,90,10,https://store.steampowered.com/app/848330/Pride_Run/?snr=1_7_7_240_150_58
2019-10-11,Franchise Hockey Manager 6,78,292,https://store.steampowered.com/app/1087270/Franchise_Hockey_Manager_6/?snr=1_7_7_240_150_58
2019-10-11,Killer Queen Black,93,381,https://store.steampowered.com/app/663670/Killer_Queen_Black/?snr=1_7_7_240_150_58
2019-10-11,Factory Town - Original Soundtrack,,,https://store.steampowered.com/app/1174080/Factory_Town__Original_Soundtrack/?snr=1_7_7_240_150_58
