,date,name,pos_percentage,voters_count,url
96,2018-07-06,The Island Combat,,,https://store.steampowered.com/app/886310/The_Island_Combat/?snr=1_7_7_240_150_1
95,2018-07-17,Blood Bowl 2 - DEATH ZONE,0.0,16.0,https://store.steampowered.com/app/1300450/Blood_Bowl_2__DEATH_ZONE/?snr=1_7_7_240_150_39
98,2018-08-03,The Warrior War,,,https://store.steampowered.com/app/882460/The_Warrior_War/?snr=1_7_7_240_150_1
99,2018-08-06,Cave to Kingdom,43.0,23.0,https://store.steampowered.com/app/1199640/Cave_to_Kingdom/?snr=1_7_7_240_150_53
97,2018-08-17,Geocells Tricells,,,https://store.steampowered.com/app/859960/Geocells_Tricells/?snr=1_7_7_240_150_53
100,2018-09-01,Dishwasher,,,https://store.steampowered.com/app/878310/Dishwasher/?snr=1_7_7_240_150_14
101,2018-09-12,soko loco,,,https://store.steampowered.com/app/1135200/soko_loco/?snr=1_7_7_240_150_51
102,2018-09-19,Incredible Dracula: Vargosi Returns,,,https://store.steampowered.com/app/1175150/Incredible_Dracula_Vargosi_Returns/?snr=1_7_7_240_150_58
76,2018-10-14,Onslaught: Armoured Assault,,,https://store.steampowered.com/app/1049910/Onslaught_Armoured_Assault/?snr=1_7_7_240_150_48
77,2018-10-30,Space Castle,,,https://store.steampowered.com/app/1341090/Space_Castle/?snr=1_7_7_240_150_20
80,2018-11-02,Safe,,,https://store.steampowered.com/app/920780/Safe/?snr=1_7_7_240_150_14
78,2018-11-15,Armored Brigade,90.0,143.0,https://store.steampowered.com/app/1089840/Armored_Brigade/?snr=1_7_7_240_150_57
79,2018-11-16,Bad North: Jotunn Edition,94.0,150.0,https://store.steampowered.com/app/688420/Bad_North_Jotunn_Edition/?snr=1_7_7_240_150_56
81,2018-11-28,Incredible Dracula: The Ice Kingdom,,,https://store.steampowered.com/app/1175170/Incredible_Dracula_The_Ice_Kingdom/?snr=1_7_7_240_150_57
82,2018-12-03,Andor - Wrecking Dawn,77.0,83.0,https://store.steampowered.com/app/867420/Andor__Wrecking_Dawn/?snr=1_7_7_240_150_3
109,2019-01-04,Peppered,,,https://store.steampowered.com/app/1213600/Peppered/?snr=1_7_7_240_150_51
103,2019-01-22,Bestiary of Sigillum,93.0,45.0,https://store.steampowered.com/app/922530/Bestiary_of_Sigillum/?snr=1_7_7_240_150_41
104,2019-01-25,Classic Card Game Gin Rummy,,,https://store.steampowered.com/app/1231760/Classic_Card_Game_Gin_Rummy/?snr=1_7_7_240_150_50
105,2019-01-28,The Devil's Calculator,93.0,44.0,https://store.steampowered.com/app/1014280/The_Devils_Calculator/?snr=1_7_7_240_150_59
106,2019-01-30,Dreamland Solitaire,100.0,12.0,https://store.steampowered.com/app/1149590/Dreamland_Solitaire/?snr=1_7_7_240_150_60
107,2019-01-31,Command:MO LIVE - The King of the Border,,,https://store.steampowered.com/app/1182308/CommandMO_LIVE__The_King_of_the_Border/?snr=1_7_7_240_150_56
108,2019-01-31,Expanse,,,https://store.steampowered.com/app/1006680/Expanse/?snr=1_7_7_240_150_57
805,2019-02-13,Hermes: Rescue Mission,,,https://store.steampowered.com/app/1195340/Hermes_Rescue_Mission/?snr=1_7_7_240_150_55
812,2019-03-03, Touhou Big Big Battle: The Justice,64.0,28.0,https://store.steampowered.com/app/1019640/_Touhou_Big_Big_Battle_The_Justice/?snr=1_7_7_240_150_42
806,2019-03-12,The Mercenary Rise,55.0,72.0,https://store.steampowered.com/app/1018060/The_Mercenary_Rise/?snr=1_7_7_240_150_58
807,2019-03-15,Workers & Resources: Soviet Republic,97.0,274.0,https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/?snr=1_7_7_240_150_13
808,2019-03-18,TouHou Nil Soul,83.0,112.0,https://store.steampowered.com/app/941300/TouHou_Nil_Soul/?snr=1_7_7_240_150_47
809,2019-03-20,Harmony,,,https://store.steampowered.com/app/1526760/Harmony/?snr=1_7_7_240_150_10
810,2019-03-22,Night shot,64.0,14.0,https://store.steampowered.com/app/1042750/Night_shot/?snr=1_7_7_240_150_58
