date,name,pos_percentage,voters_count,url
2019-08-14,PAGAN: Autogeny,85.0,14.0,https://store.steampowered.com/app/1165750/PAGAN_Autogeny/?snr=1_7_7_240_150_57
2019-08-26,Endless World Idle RPG,71.0,59.0,https://store.steampowered.com/app/840260/Endless_World_Idle_RPG/?snr=1_7_7_240_150_54
2019-08-28,Pirates Outlaws,84.0,350.0,https://store.steampowered.com/app/1046300/Pirates_Outlaws/?snr=1_7_7_240_150_42
2019-08-30,Perfect Crime,71.0,292.0,https://store.steampowered.com/app/666870/Perfect_Crime/?snr=1_7_7_240_150_26
2019-09-02,HelixVision,65.0,82.0,https://store.steampowered.com/app/1127310/HelixVision/?snr=1_7_7_240_150_40
2019-09-02,Singaria - Prologue,,,https://store.steampowered.com/app/1145100/Singaria__Prologue/?snr=1_7_7_240_150_50
2019-09-02,Kedemara - The Orphan's Ballad (Ch.1 & 2),,,https://store.steampowered.com/app/1171110/Kedemara__The_Orphans_Ballad_Ch1__2/?snr=1_7_7_240_150_57
2019-09-06,Restless Hero,,,https://store.steampowered.com/app/1164410/Restless_Hero/?snr=1_7_7_240_150_58
2019-09-09,Lucid Nina,,,https://store.steampowered.com/app/1144290/Lucid_Nina/?snr=1_7_7_240_150_49
2019-09-11,Nightmare Cave,,,https://store.steampowered.com/app/1142200/Nightmare_Cave/?snr=1_7_7_240_150_60
2019-09-12,Poly Quest,69.0,23.0,https://store.steampowered.com/app/1143610/Poly_Quest/?snr=1_7_7_240_150_60
2019-09-20,Bucket Knight,87.0,16.0,https://store.steampowered.com/app/1077090/Bucket_Knight/?snr=1_7_7_240_150_60
2019-09-23,The Surge 2 - URBN Gear Pack,76.0,43.0,https://store.steampowered.com/app/1068260/The_Surge_2__URBN_Gear_Pack/?snr=1_7_7_240_150_60
2019-09-23,The Surge 2,79.0,48.0,https://store.steampowered.com/app/644830/The_Surge_2/?snr=1_7_7_240_150_60
2019-09-23,The Rising of the Shield Hero : Relive The Animation,77.0,156.0,https://store.steampowered.com/app/1146100/The_Rising_of_the_Shield_Hero__Relive_The_Animation/?snr=1_7_7_240_150_60
2019-09-23,Fantasy Grounds - Mongoose Traveller 2E ruleset (MGT2),,,https://store.steampowered.com/app/1160930/Fantasy_Grounds__Mongoose_Traveller_2E_ruleset_MGT2/?snr=1_7_7_240_150_60
2019-09-24,Noita Official Soundtrack,70.0,10.0,https://store.steampowered.com/app/1161410/Noita_Official_Soundtrack/?snr=1_7_7_240_150_60
2019-09-24,Flynguin Station,80.0,15.0,https://store.steampowered.com/app/969250/Flynguin_Station/?snr=1_7_7_240_150_60
2019-09-24,PixARK-Skyward Structure Style Pack,82.0,17.0,https://store.steampowered.com/app/1143160/PixARKSkyward_Structure_Style_Pack/?snr=1_7_7_240_150_60
2019-09-24,Cat Quest II,98.0,54.0,https://store.steampowered.com/app/914710/Cat_Quest_II/?snr=1_7_7_240_150_56
2019-09-24,Cat Quest II,98.0,54.0,https://store.steampowered.com/app/914710/Cat_Quest_II/?snr=1_7_7_240_150_60
2019-09-24,DoSK,,,https://store.steampowered.com/app/1131570/DoSK/?snr=1_7_7_240_150_60
2019-09-24,Aground Soundtrack Deluxe Edition,,,https://store.steampowered.com/app/1163780/Aground_Soundtrack_Deluxe_Edition/?snr=1_7_7_240_150_60
2019-09-24,Playing Both Sides,,,https://store.steampowered.com/app/1142090/Playing_Both_Sides/?snr=1_7_7_240_150_60
2019-09-24,Graduated,,,https://store.steampowered.com/app/1070260/Graduated/?snr=1_7_7_240_150_60
2019-09-24,Fantasy Grounds - Devin Night Token Pack #118: Fantastical Far East 2 (Token Pack),,,https://store.steampowered.com/app/1159670/Fantasy_Grounds__Devin_Night_Token_Pack_118_Fantastical_Far_East_2_Token_Pack/?snr=1_7_7_240_150_60
2019-09-24,Fantasy Grounds - Devin Night Token Pack #117: Elite Orcs & Ogres (Token Pack),,,https://store.steampowered.com/app/1159100/Fantasy_Grounds__Devin_Night_Token_Pack_117_Elite_Orcs__Ogres_Token_Pack/?snr=1_7_7_240_150_60
2019-09-24,Fantasy Grounds - Devin Night Token Pack #116: Elite Goblins (Token Pack),,,https://store.steampowered.com/app/1159050/Fantasy_Grounds__Devin_Night_Token_Pack_116_Elite_Goblins_Token_Pack/?snr=1_7_7_240_150_60
2019-09-24,Fantasy Grounds - Red Dragon Pack (Token Pack),,,https://store.steampowered.com/app/1160300/Fantasy_Grounds__Red_Dragon_Pack_Token_Pack/?snr=1_7_7_240_150_60
2019-09-24,Fantasy Grounds - White Dragon Pack (Token Pack),,,https://store.steampowered.com/app/1160230/Fantasy_Grounds__White_Dragon_Pack_Token_Pack/?snr=1_7_7_240_150_60
2019-09-24,Fantasy Grounds - Ddraig Goch's Samhain Pack 3 (Token Pack),,,https://store.steampowered.com/app/1151970/Fantasy_Grounds__Ddraig_Gochs_Samhain_Pack_3_Token_Pack/?snr=1_7_7_240_150_60
2019-09-24,Darkwood - Artbook,,,https://store.steampowered.com/app/1161370/Darkwood__Artbook/?snr=1_7_7_240_150_60
2019-09-24,Neighborhood,,,https://store.steampowered.com/app/1144820/Neighborhood/?snr=1_7_7_240_150_60
2019-09-25,A Legionary's Life,67.0,40.0,https://store.steampowered.com/app/1058430/A_Legionarys_Life/?snr=1_7_7_240_150_60
2019-09-25,Tales of the Black Forest,96.0,123.0,https://store.steampowered.com/app/1093910/Tales_of_the_Black_Forest/?snr=1_7_7_240_150_60
2019-09-25,The Executioner,69.0,286.0,https://store.steampowered.com/app/739130/The_Executioner/?snr=1_7_7_240_150_60
2019-09-25,Tabletop Simulator - Boss Monster,,,https://store.steampowered.com/app/610701/Tabletop_Simulator__Boss_Monster/?snr=1_7_7_240_150_60
2019-09-25,Warhammer: Chaosbane - Gods Pack,,,https://store.steampowered.com/app/1004917/Warhammer_Chaosbane__Gods_Pack/?snr=1_7_7_240_150_60
2019-09-26,无奇刀 Wookie's Blade,92.0,13.0,https://store.steampowered.com/app/1058750/_Wookies_Blade/?snr=1_7_7_240_150_60
2019-09-26,SpellForce 3: Soul Harvest - Oktoberfest,94.0,17.0,https://store.steampowered.com/app/1161740/SpellForce_3_Soul_Harvest__Oktoberfest/?snr=1_7_7_240_150_60
2019-09-26,Diablo_IslanD 暗黑破坏岛,33.0,18.0,https://store.steampowered.com/app/1138060/Diablo_IslanD/?snr=1_7_7_240_150_60
2019-09-26,Stygian: Reign of the Old Ones,66.0,24.0,https://store.steampowered.com/app/779290/Stygian_Reign_of_the_Old_Ones/?snr=1_7_7_240_150_60
2019-09-26,Encased: A Sci-Fi Post-Apocalyptic RPG,33.0,30.0,https://store.steampowered.com/app/921800/Encased_A_SciFi_PostApocalyptic_RPG/?snr=1_7_7_240_150_60
2019-09-26,Firestone Idle RPG,85.0,112.0,https://store.steampowered.com/app/1013320/Firestone_Idle_RPG/?snr=1_7_7_240_150_60
2019-09-26,Gordon Streaman,92.0,118.0,https://store.steampowered.com/app/1131810/Gordon_Streaman/?snr=1_7_7_240_150_60
2019-09-26,大老爷,32.0,164.0,https://store.steampowered.com/app/1005950/_/?snr=1_7_7_240_150_60
2019-09-26,CODE VEIN - Season Pass,38.0,324.0,https://store.steampowered.com/app/773991/CODE_VEIN__Season_Pass/?snr=1_7_7_240_150_60
2019-09-26,CODE VEIN,83.0,664.0,https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_240_150_53
2019-09-26,CODE VEIN,83.0,664.0,https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_240_150_60
2019-09-26,咔叽探险队 Kaki Raid,73.0,856.0,https://store.steampowered.com/app/1137180/_Kaki_Raid/?snr=1_7_7_240_150_60
2019-09-26,FRENZY PLANTS,,,https://store.steampowered.com/app/1118930/FRENZY_PLANTS/?snr=1_7_7_240_150_60
2019-09-26,Stygian: Reign of the Old Ones - Digital Artbook,,,https://store.steampowered.com/app/1160140/Stygian_Reign_of_the_Old_Ones__Digital_Artbook/?snr=1_7_7_240_150_60
2019-09-26,Those Chosen By God,,,https://store.steampowered.com/app/1151880/Those_Chosen_By_God/?snr=1_7_7_240_150_60
2019-09-26,M.A.D. Cliff - All Quiet On The Bridge,,,https://store.steampowered.com/app/874630/MAD_Cliff__All_Quiet_On_The_Bridge/?snr=1_7_7_240_150_60
2019-09-26,Zengeon-Grab your Summer Memory (swimwear #3),,,https://store.steampowered.com/app/1163180/ZengeonGrab_your_Summer_Memory_swimwear_3/?snr=1_7_7_240_150_60
2019-09-27,War Theatre: Blood of Winter,54.0,11.0,https://store.steampowered.com/app/1150650/War_Theatre_Blood_of_Winter/?snr=1_7_7_240_150_60
2019-09-27,Ann Achronist: Many Happy Returns,100.0,12.0,https://store.steampowered.com/app/1152580/Ann_Achronist_Many_Happy_Returns/?snr=1_7_7_240_150_60
2019-09-27,Lenin - The Lion,98.0,52.0,https://store.steampowered.com/app/839850/Lenin__The_Lion/?snr=1_7_7_240_150_60
2019-09-27,Shine's Adventures 2 (Zombie Attack),93.0,94.0,https://store.steampowered.com/app/1105410/Shines_Adventures_2_Zombie_Attack/?snr=1_7_7_240_150_60
2019-09-27,Ruins to Rumble,,,https://store.steampowered.com/app/1053870/Ruins_to_Rumble/?snr=1_7_7_240_150_60
